round,num_alive,cum_energy_j,best_acc,mean_acc
0,10,0.8788139008,0.050940206238787866,0.050940206238787866
1,10,1.7576278016,0.050940206238787866,0.050940206238787866
2,10,2.6364417024,0.050940206238787866,0.050940206238787866
3,10,3.5152556032,0.050940206238787866,0.050940206238787866
4,10,4.394069504,0.050940206238787866,0.050940206238787866
5,10,5.2728834048,0.050940206238787866,0.050940206238787866
6,10,6.1516973056,0.050940206238787866,0.050940206238787866
7,10,7.0305112064,0.050940206238787866,0.050940206238787866
8,10,7.9093251072,0.050940206238787866,0.050940206238787866
9,10,8.788139008,0.050940206238787866,0.050940206238787866
10,10,9.666952908799999,0.050940206238787866,0.04896557954648116
11,10,10.5457668096,0.050940206238787866,0.04896557954648116
12,10,11.4245807104,0.050940206238787866,0.04896557954648116
13,10,12.303394611200002,0.050940206238787866,0.04896557954648116
14,10,13.182208512000003,0.050940206238787866,0.04896557954648116
15,10,14.061022412800003,0.050940206238787866,0.04896557954648116
16,10,14.939836313600004,0.050940206238787866,0.04896557954648116
17,10,15.818650214400005,0.050940206238787866,0.04896557954648116
18,10,16.697464115200006,0.050940206238787866,0.04896557954648116
19,10,17.576278016000007,0.050940206238787866,0.04896557954648116
20,10,18.455091916800008,0.06967980073048281,0.06967980073048281
21,10,19.33390581760001,0.06967980073048281,0.06967980073048281
22,10,20.21271971840001,0.06967980073048281,0.06967980073048281
23,10,21.09153361920001,0.06967980073048281,0.06967980073048281
24,10,21.97034752000001,0.06967980073048281,0.06967980073048281
25,10,22.849161420800012,0.06967980073048281,0.06967980073048281
26,10,23.727975321600013,0.06967980073048281,0.06967980073048281
27,10,24.606789222400014,0.06967980073048281,0.06967980073048281
28,10,25.485603123200015,0.06967980073048281,0.06967980073048281
29,10,26.364417024000016,0.06967980073048281,0.06967980073048281
30,10,27.243230924800017,0.07570692926190262,0.07570692926190262
31,10,28.122044825600018,0.07570692926190262,0.07570692926190262
32,10,29.00085872640002,0.07570692926190262,0.07570692926190262
33,10,29.87967262720002,0.07570692926190262,0.07570692926190262
34,10,30.75848652800002,0.07570692926190262,0.07570692926190262
35,10,31.63730042880002,0.07570692926190262,0.07570692926190262
36,10,32.51611432960002,0.07570692926190262,0.07570692926190262
37,10,33.39492823040002,0.07570692926190262,0.07570692926190262
38,10,34.27374213120002,0.07570692926190262,0.07570692926190262
39,10,35.152556032000014,0.07570692926190262,0.07570692926190262
40,10,36.03136993280001,0.07570692926190262,0.05805144354245447
41,10,36.91018383360001,0.07570692926190262,0.05805144354245447
42,10,37.788997734400006,0.07570692926190262,0.05805144354245447
43,10,38.6678116352,0.07570692926190262,0.05805144354245447
44,10,39.546625536,0.07570692926190262,0.05805144354245447
45,10,40.4254394368,0.07570692926190262,0.05805144354245447
46,10,41.304253337599995,0.07570692926190262,0.05805144354245447
47,10,42.18306723839999,0.07570692926190262,0.05805144354245447
48,10,43.06188113919999,0.07570692926190262,0.05805144354245447
49,10,43.94069503999999,0.07570692926190262,0.05805144354245447
50,10,44.819508940799984,0.11006285249667669,0.11006285249667669
51,10,45.69832284159998,0.11006285249667669,0.11006285249667669
52,10,46.57713674239998,0.11006285249667669,0.11006285249667669
53,10,47.45595064319998,0.11006285249667669,0.11006285249667669
54,10,48.334764543999974,0.11006285249667669,0.11006285249667669
55,10,49.21357844479997,0.11006285249667669,0.11006285249667669
56,10,50.09239234559997,0.11006285249667669,0.11006285249667669
57,10,50.971206246399966,0.11006285249667669,0.11006285249667669
58,10,51.85002014719996,0.11006285249667669,0.11006285249667669
59,10,52.72883404799996,0.11006285249667669,0.11006285249667669
60,10,53.60764794879996,0.15867996850922136,0.15867996850922136
61,10,54.486461849599955,0.15867996850922136,0.15867996850922136
62,10,55.36527575039995,0.15867996850922136,0.15867996850922136
63,10,56.24408965119995,0.15867996850922136,0.15867996850922136
64,10,57.12290355199995,0.15867996850922136,0.15867996850922136
65,10,58.001717452799944,0.15867996850922136,0.15867996850922136
66,10,58.88053135359994,0.15867996850922136,0.15867996850922136
67,10,59.75934525439994,0.15867996850922136,0.15867996850922136
68,10,60.638159155199936,0.15867996850922136,0.15867996850922136
69,10,61.516973055999934,0.15867996850922136,0.15867996850922136
70,10,62.39578695679993,0.19999225636591253,0.19999225636591253
71,10,63.27460085759993,0.19999225636591253,0.19999225636591253
72,10,64.15341475839993,0.19999225636591253,0.19999225636591253
73,10,65.03222865919993,0.19999225636591253,0.19999225636591253
74,10,65.91104255999993,0.19999225636591253,0.19999225636591253
75,10,66.78985646079992,0.19999225636591253,0.19999225636591253
76,10,67.66867036159992,0.19999225636591253,0.19999225636591253
77,10,68.54748426239992,0.19999225636591253,0.19999225636591253
78,10,69.42629816319992,0.19999225636591253,0.19999225636591253
79,10,70.30511206399991,0.19999225636591253,0.19999225636591253
80,10,71.18392596479991,0.2763573945252507,0.2763573945252507
81,10,72.06273986559991,0.2763573945252507,0.2763573945252507
82,10,72.9415537663999,0.2763573945252507,0.2763573945252507
83,10,73.8203676671999,0.2763573945252507,0.2763573945252507
84,10,74.6991815679999,0.2763573945252507,0.2763573945252507
85,10,75.5779954687999,0.2763573945252507,0.2763573945252507
86,10,76.4568093695999,0.2763573945252507,0.2763573945252507
87,10,77.33562327039989,0.2763573945252507,0.2763573945252507
88,10,78.21443717119989,0.2763573945252507,0.2763573945252507
89,10,79.09325107199989,0.2763573945252507,0.2763573945252507
90,10,79.97206497279988,0.2892892634513377,0.2892892634513377
91,10,80.85087887359988,0.2892892634513377,0.2892892634513377
92,10,81.72969277439988,0.2892892634513377,0.2892892634513377
93,10,82.60850667519988,0.2892892634513377,0.2892892634513377
94,10,83.48732057599987,0.2892892634513377,0.2892892634513377
95,10,84.36613447679987,0.2892892634513377,0.2892892634513377
96,10,85.24494837759987,0.2892892634513377,0.2892892634513377
97,10,86.12376227839987,0.2892892634513377,0.2892892634513377
98,10,87.00257617919986,0.2892892634513377,0.2892892634513377
99,10,87.88139007999986,0.2892892634513377,0.2892892634513377
100,10,88.76020398079986,0.2892892634513377,0.2223326407082844
101,10,89.63901788159986,0.2892892634513377,0.2223326407082844
102,10,90.51783178239985,0.2892892634513377,0.2223326407082844
103,10,91.39664568319985,0.2892892634513377,0.2223326407082844
104,10,92.27545958399985,0.2892892634513377,0.2223326407082844
105,10,93.15427348479984,0.2892892634513377,0.2223326407082844
106,10,94.03308738559984,0.2892892634513377,0.2223326407082844
107,10,94.91190128639984,0.2892892634513377,0.2223326407082844
108,10,95.79071518719984,0.2892892634513377,0.2223326407082844
109,10,96.66952908799983,0.2892892634513377,0.2223326407082844
110,10,97.54834298879983,0.37209452396009446,0.37209452396009446
